1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01
1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01
1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01
6.024096385542168988e-03	6.024096385542168988e-03	6.024096385542168988e-03	4.337349397590361533e-01	6.024096385542168988e-03	6.024096385542168988e-03	6.024096385542168988e-03	6.024096385542168988e-03	6.024096385542168988e-03	5.180722891566265087e-01
1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01
1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01
1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01
1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01
1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01	1.000000000000000056e-01
1.968503937007873988e-03	1.968503937007873988e-03	1.968503937007873988e-03	1.673228346456692994e-01	1.968503937007873988e-03	1.968503937007873988e-03	1.968503937007873988e-03	1.968503937007873988e-03	1.968503937007873988e-03	8.169291338582677087e-01
