75,23
88,21
55,21
8,16
85,16
5555,15
857,15
77,12
758,12
6,12
555,11
777,11
577,11
888,10
57,9
7,9
3,8
8577,7
5777,7
5,6
87,6
37,6
66,6
58,6
44,6
77777,5
8888,5
85777,5
67,5
109,5
8575,5
9109,5
65,5
666,5
2,5
585,4
75588,4
9,4
7558,4
755,4
910910,4
88888,4
1,4
55555,4
444,3
7775,3
5555555,3
858,3
6777,3
5858,3
8585,3
58585,3
655,3
105,3
7555,3
85757,3
33,3
58888,3
7777,3
878,3
7755,3
777777777,2
477,2
7588,2
7877,2
8888888,2
75585,2
677,2
65555,2
8777,2
585858,2
488,2
365,2
6558,2
337,2
57575,2
7585,2
877,2
910910910,2
8787,2
5887,2
910,2
78578,2
575,2
777777,2
588,2
577777,2
10,2
888888,2
78,2
555555555,2
4,2
487,2
5588,2
47,2
857777,2
578,2
555555,2
157,2
44444,2
4877,2
757,2
377,2
43,2
57777,2
75555,2
44888888,1
288,1
224,1
4888,1
4444,1
888888888,1
422,1
77777777,1
7777777,1
4448888,1
494,1
7575,1
5558,1
85858,1
858558,1
77775,1
667,1
95,1
10494,1
755555,1
109109,1
757575,1
575757,1
58758,1
4910,1
4777,1
6655,1
26,1
855,1
385,1
377777,1
11,1
477777,1
49,1
103,1
75888,1
3777,1
1055,1
43777,1
10910,1
13,1
1577,1
27,1
6785,1
1888,1
1113,1
222,1
5787,1
1877878,1
587587,1
8875,1
8887,1
58875875,1
687,1
266,1
8558,1
877778,1
8787878,1
87878,1
665,1
6588888,1
78787,1
4143,1
368,1
7587,1
41,1
92,1
5777777,1
5888,1
336,1
3377,1
24,1
111,1
136,1
910910910910,1
85778,1
3365,1
37775,1
666666,1
66555,1
688,1
5575,1
887,1
22,1
28,1
67777,1
5888888,1
787,1
,1
